sector_id,sector_name,district,proxy_class,proxy_score,proxy_rank,primary_model,probability_low,probability_medium,probability_high,model_predicted_class,model_probability,model_vulnerability_score,model_priority_rank,model_agrees_with_proxy_label,hybrid_model_weight,hybrid_indicator_weight,hybrid_model_contribution,hybrid_indicator_contribution,hybrid_vulnerability_score,hybrid_vulnerability_class,hybrid_priority_rank,hybrid_class_threshold_method,hybrid_class_low_upper_score,hybrid_class_medium_upper_score
RWA.5.3.4_1,Kimisagara,Nyarugenge,High,0.4405804353541357,10,random_forest,0.22206797903226633,0.7110015988104501,0.06693042215728352,Medium,0.7110015988104501,0.42243122156250856,23,False,0.6,0.4,0.25345873293750515,0.1762321741416543,0.42969090707915947,Medium,21,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.5.3.2_1,Kanyinya,Nyarugenge,Medium,0.3272753144539934,18,random_forest,0.03432515108443901,0.9533994425928963,0.012275406322664665,Medium,0.9533994425928963,0.4889751276191128,17,True,0.6,0.4,0.2933850765714677,0.13091012578159736,0.42429520235306506,Medium,22,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.1.4.2_1,Cyuve,Musanze,Medium,0.2903992812044433,22,random_forest,0.42699919966740724,0.17138653301846468,0.4016142673141282,Low,0.42699919966740724,0.48730753382336056,18,False,0.6,0.4,0.29238452029401635,0.11615971248177732,0.40854423277579366,Medium,23,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.5.1.12_1,Nduba,Gasabo,Medium,0.3090924464295181,20,random_forest,0.218063948215813,0.669384994986388,0.11255105679779882,Medium,0.669384994986388,0.44724355429099283,20,True,0.6,0.4,0.26834613257459566,0.12363697857180725,0.39198311114640294,Medium,24,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.5.1.5_1,Jabana,Gasabo,Medium,0.2882546292574698,23,random_forest,0.30576210171848184,0.6135526419665805,0.08068525631493753,Medium,0.6135526419665805,0.38746157729822783,26,True,0.6,0.4,0.23247694637893668,0.11530185170298793,0.3477787980819246,Medium,25,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.5.3.5_1,Mageregere,Nyarugenge,Medium,0.2800841808447797,24,random_forest,0.2354149281867693,0.7470123714127775,0.017572700400453056,Medium,0.7470123714127775,0.3910788861068418,25,True,0.6,0.4,0.2346473316641051,0.1120336723379119,0.34668100400201696,Medium,26,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.5.3.3_1,Kigali,Nyarugenge,Medium,0.2544570041276887,31,random_forest,0.2931556422150424,0.682321553709987,0.02452280407497045,Medium,0.682321553709987,0.36568358092996395,28,True,0.6,0.4,0.21941014855797836,0.10178280165107548,0.3211929502090538,Medium,27,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.5.2.8_1,Masaka,Kicukiro,Low,0.1579712087760667,49,random_forest,0.25708223131844254,0.7279273195108452,0.01499044917071233,Medium,0.7279273195108452,0.37895410892613496,27,False,0.6,0.4,0.22737246535568095,0.06318848351042669,0.2905609488661076,Medium,28,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.5.1.2_1,Gatsata,Gasabo,Medium,0.2784616817960349,25,random_forest,0.4955485050444485,0.41239868607687,0.09205280887868149,Low,0.4955485050444485,0.2982521519171165,33,False,0.6,0.4,0.1789512911502699,0.11138467271841397,0.2903359638686839,Medium,29,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.5.2.6_1,Kicukiro,Kicukiro,Medium,0.2417520070579284,33,random_forest,0.5806918116439339,0.19724912068476547,0.22205906767130063,Low,0.5806918116439339,0.32068362801368333,29,False,0.6,0.4,0.19241017680821,0.09670080282317137,0.2891109796313813,Medium,30,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
