sector_subunit_id,sector_subunit_index,sentinel__subunit_matched_row_count,sector_id,sector_name,district,proxy_class,proxy_score,proxy_rank,sentinel__elevation__subunit_mean,sentinel__elevation__subunit_std,sentinel__ndvi__subunit_mean,sentinel__ndvi__subunit_std,sentinel__ndbi__subunit_mean,sentinel__ndbi__subunit_std,sentinel__mndwi__subunit_mean,sentinel__mndwi__subunit_std,sentinel__slope__subunit_mean,sentinel__slope__subunit_std
RWA.5.1.14_1__sentinel_subunit_01,1,5,RWA.5.1.14_1,Rusororo,Gasabo,Medium,0.2768479057334599,26,1351.186222222222,9.193284270542922,0.3898039766311029,0.1002765080422522,0.0259116290840719,0.0613378785672348,-0.470371176656431,0.0275433748355138,4.356730007436541,2.209349302498418
RWA.5.1.14_1__sentinel_subunit_02,2,4,RWA.5.1.14_1,Rusororo,Gasabo,Medium,0.2768479057334599,26,1375.5369444444443,22.023359827383715,0.308249646465794,0.0758481008864792,0.0576706188348148,0.0308004510558655,-0.4774993086401045,0.029594999456413,5.8095074388881525,1.3498892752199063
RWA.5.1.14_1__sentinel_subunit_03,3,4,RWA.5.1.14_1,Rusororo,Gasabo,Medium,0.2768479057334599,26,1383.9711111111112,18.579547829020488,0.3221399537965345,0.0352751529304087,0.0690776555387603,0.0115654564767432,-0.4884333289190898,0.0188260669058781,8.369104221645328,0.8329333580048819
RWA.5.1.14_1__sentinel_subunit_04,4,4,RWA.5.1.14_1,Rusororo,Gasabo,Medium,0.2768479057334599,26,1390.9980555555555,26.285020807052057,0.3629272085593895,0.0754504128198313,0.0343513151508929,0.0405254884215847,-0.4856982855229417,0.0242406107984978,7.141768819275829,2.397667160673461
RWA.5.1.14_1__sentinel_subunit_05,5,4,RWA.5.1.14_1,Rusororo,Gasabo,Medium,0.2768479057334599,26,1414.0772222222222,35.18482077199208,0.3375176515700771,0.0633711091263626,0.0588082435845179,0.0123360586162393,-0.4905665099030457,0.0345349779304603,5.103412770926952,1.3103243028418807
RWA.5.1.14_1__sentinel_subunit_06,6,4,RWA.5.1.14_1,Rusororo,Gasabo,Medium,0.2768479057334599,26,1401.016111111111,26.254535057987862,0.3362570706281164,0.0409604706413712,0.067837875856476,0.0158251135974347,-0.5124958047235347,0.0155678865229649,7.538460732466644,1.2859456144464416
RWA.5.1.14_1__sentinel_subunit_07,7,4,RWA.5.1.14_1,Rusororo,Gasabo,Medium,0.2768479057334599,26,1403.0924621759,35.87335179255178,0.3268401784723308,0.0302992702373736,0.0741555277370274,0.0119546060629684,-0.4988325816547618,0.0268879661504525,8.328485233555863,1.8960795580497996
RWA.5.1.14_1__sentinel_subunit_08,8,4,RWA.5.1.14_1,Rusororo,Gasabo,Medium,0.2768479057334599,26,1445.5351724422085,17.44337825474812,0.3201327642598547,0.0310885134985186,0.0648374491540527,0.0161167829222071,-0.4996472532151801,0.0046078587264926,5.16948151456055,1.5491849058492255
RWA.5.1.14_1__sentinel_subunit_09,9,4,RWA.5.1.14_1,Rusororo,Gasabo,Medium,0.2768479057334599,26,1437.425238508241,31.55187005796112,0.3076503178262616,0.0619258919162743,0.0548071900718185,0.0590995938774642,-0.4710383250239757,0.085612973253507,6.207546085034069,3.443230073419835
RWA.5.1.14_1__sentinel_subunit_10,10,4,RWA.5.1.14_1,Rusororo,Gasabo,Medium,0.2768479057334599,26,1427.198602610904,25.8973460821152,0.3714469228266334,0.0583837726729164,0.0551023246909644,0.0319687250235767,-0.5219861702226942,0.0379466235762594,7.968720497014115,1.8983547366811089
