sector_id,sector_name,district,model_vulnerability_score,proxy_score,scenario,model_weight,indicator_weight,hybrid_score,hybrid_class,hybrid_rank,baseline_60_40_rank,rank_change_from_60_40,in_top_10
RWA.5.3.4_1,Kimisagara,Nyarugenge,0.42243122156250856,0.4405804353541357,model_emphasis_70_indicator_30,0.7,0.3,0.42787598569999663,Medium,23,21,-2,False
RWA.5.1.12_1,Nduba,Gasabo,0.44724355429099283,0.3090924464295181,model_emphasis_70_indicator_30,0.7,0.3,0.4057982219325504,Medium,24,24,0,False
RWA.5.3.5_1,Mageregere,Nyarugenge,0.3910788861068418,0.2800841808447797,model_emphasis_70_indicator_30,0.7,0.3,0.35778047452822315,Medium,25,26,1,False
RWA.5.1.5_1,Jabana,Gasabo,0.3874615772982278,0.2882546292574698,model_emphasis_70_indicator_30,0.7,0.3,0.3576994928860004,Medium,26,25,-1,False
RWA.5.3.3_1,Kigali,Nyarugenge,0.36568358092996395,0.2544570041276887,model_emphasis_70_indicator_30,0.7,0.3,0.3323156078892814,Medium,27,27,0,False
RWA.5.2.8_1,Masaka,Kicukiro,0.37895410892613496,0.1579712087760667,model_emphasis_70_indicator_30,0.7,0.3,0.31265923888111447,Medium,28,28,0,False
RWA.5.2.6_1,Kicukiro,Kicukiro,0.3206836280136834,0.2417520070579284,model_emphasis_70_indicator_30,0.7,0.3,0.2970041417269569,Medium,29,30,1,False
RWA.5.1.2_1,Gatsata,Gasabo,0.2982521519171165,0.2784616817960349,model_emphasis_70_indicator_30,0.7,0.3,0.29231501088079204,Medium,30,29,-1,False
RWA.5.1.1_1,Bumbogo,Gasabo,0.3158579297832985,0.2149336613869248,model_emphasis_70_indicator_30,0.7,0.3,0.2855806492643864,Medium,31,31,0,False
RWA.5.2.2_1,Gatenga,Kicukiro,0.29933854352334177,0.2156375855440717,model_emphasis_70_indicator_30,0.7,0.3,0.27422825612956075,Medium,32,34,2,False
RWA.5.1.4_1,Gisozi,Gasabo,0.2545024933490333,0.3067380051896409,model_emphasis_70_indicator_30,0.7,0.3,0.2701731469012156,Medium,33,32,-1,False
RWA.5.3.6_1,Muhima,Nyarugenge,0.2681986017454431,0.2642044247024577,model_emphasis_70_indicator_30,0.7,0.3,0.26700034863254746,Low,34,33,-1,False
RWA.5.2.4_1,Kagarama,Kicukiro,0.3114946594871306,0.1610311820554308,model_emphasis_70_indicator_30,0.7,0.3,0.26635561625762066,Low,35,36,1,False
RWA.5.2.3_1,Gikondo,Kicukiro,0.2775972788788799,0.2221388923913258,model_emphasis_70_indicator_30,0.7,0.3,0.2609597629326137,Low,36,35,-1,False
RWA.5.3.8_1,Nyamirambo,Nyarugenge,0.2577973842962659,0.2405879256891908,model_emphasis_70_indicator_30,0.7,0.3,0.25263454671414337,Low,37,37,0,False
RWA.5.1.13_1,Remera,Gasabo,0.24095487498714802,0.2319237891238495,model_emphasis_70_indicator_30,0.7,0.3,0.23824554922815844,Low,38,38,0,False
RWA.5.2.5_1,Kanombe,Kicukiro,0.2668802306814894,0.1703263244411434,model_emphasis_70_indicator_30,0.7,0.3,0.2379140588093856,Low,39,40,1,False
RWA.5.2.7_1,Kigarama,Kicukiro,0.2247665050176588,0.2555188662962006,model_emphasis_70_indicator_30,0.7,0.3,0.2339922134012213,Low,40,39,-1,False
RWA.5.3.9_1,Nyarugenge,Nyarugenge,0.23990425643582888,0.1860084281468038,model_emphasis_70_indicator_30,0.7,0.3,0.22373550794912134,Low,41,41,0,False
RWA.5.1.7_1,Kacyiru,Gasabo,0.18602919295309006,0.2329120553974533,model_emphasis_70_indicator_30,0.7,0.3,0.20009405168639904,Low,42,42,0,False
RWA.5.1.8_1,Kimihurura,Gasabo,0.1950951342085419,0.194568267731122,model_emphasis_70_indicator_30,0.7,0.3,0.19493707426531592,Low,43,45,2,False
RWA.5.1.11_1,Ndera,Gasabo,0.18272222117186745,0.2188736158788271,model_emphasis_70_indicator_30,0.7,0.3,0.19356763958395534,Low,44,43,-1,False
RWA.5.2.9_1,Niboye,Kicukiro,0.184769848890699,0.2128357883315653,model_emphasis_70_indicator_30,0.7,0.3,0.19318963072295886,Low,45,44,-1,False
RWA.5.2.10_1,Nyarugunga,Kicukiro,0.19715773330872188,0.1715423609508977,model_emphasis_70_indicator_30,0.7,0.3,0.1894731216013746,Low,46,46,0,False
RWA.5.2.1_1,Gahanga,Kicukiro,0.18560052101552532,0.1503736702268057,model_emphasis_70_indicator_30,0.7,0.3,0.1750324657789094,Low,47,47,0,False
RWA.5.1.14_1,Rusororo,Gasabo,0.094012713007372,0.2768479057334599,model_emphasis_70_indicator_30,0.7,0.3,0.14886327082519837,Low,48,48,0,False
RWA.5.1.9_1,Kimironko,Gasabo,0.1109567370569524,0.2356246404101854,model_emphasis_70_indicator_30,0.7,0.3,0.1483571080629223,Low,49,49,0,False
RWA.5.1.10_1,Kinyinya,Gasabo,0.08075023923595501,0.2314513902420026,model_emphasis_70_indicator_30,0.7,0.3,0.12596058453776926,Low,50,50,0,False
RWA.1.4.4_1,Gashaki,Musanze,0.6850420824040536,0.5175642990632866,recommended_model_60_indicator_40,0.6,0.4,0.6180509690677468,High,1,1,0,True
RWA.1.4.13_1,Remera,Musanze,0.6491756283840224,0.5231253843006046,recommended_model_60_indicator_40,0.6,0.4,0.5987555307506554,High,2,2,0,True
RWA.1.4.14_1,Rwaza,Musanze,0.6275080272155636,0.5095302654508534,recommended_model_60_indicator_40,0.6,0.4,0.5803169225096796,High,3,3,0,True
