sector_id,district,sector_name,proxy_class,proxy_score,scenario,scenario_score,scenario_class,class_changed_from_base
RWA.5.1.13_1,Gasabo,Remera,Low,0.2319237891238498,rurality_heavy,0.14147245231619338,Low,False
RWA.5.1.10_1,Gasabo,Kinyinya,Low,0.23145139024200176,rurality_heavy,0.14117720301503836,Low,False
RWA.5.2.3_1,Kicukiro,Gikondo,Low,0.22213889239132717,rurality_heavy,0.13589150410364081,Low,False
RWA.5.1.11_1,Gasabo,Ndera,Low,0.2188736158788271,rurality_heavy,0.18984817287038575,Medium,True
RWA.5.2.2_1,Kicukiro,Gatenga,Low,0.2156375855440712,rurality_heavy,0.13182818732410584,Low,False
RWA.5.1.1_1,Gasabo,Bumbogo,Low,0.2149336613869247,rurality_heavy,0.1840838880276971,Medium,True
RWA.5.2.9_1,Kicukiro,Niboye,Low,0.21283578833156402,rurality_heavy,0.13007706406628886,Low,False
RWA.5.1.8_1,Gasabo,Kimihurura,Low,0.19456826773112182,rurality_heavy,0.1181252514457384,Low,False
RWA.5.3.9_1,Nyarugenge,Nyarugenge,Low,0.18600842814680446,rurality_heavy,0.11314774175299305,Low,False
RWA.5.2.10_1,Kicukiro,Nyarugunga,Low,0.17154236095089792,rurality_heavy,0.10426867195337255,Low,False
RWA.5.2.5_1,Kicukiro,Kanombe,Low,0.17032632444114337,rurality_heavy,0.10350864913477596,Low,False
RWA.5.2.4_1,Kicukiro,Kagarama,Low,0.16103118205543046,rurality_heavy,0.09769918514370539,Low,False
RWA.5.2.8_1,Kicukiro,Masaka,Low,0.15797120877606674,rurality_heavy,0.11771191570915866,Low,False
RWA.5.2.1_1,Kicukiro,Gahanga,Low,0.1503736702268055,rurality_heavy,0.09103824025081479,Low,False
